time,ax,ay,az
0.0025191307067871094,0.09,0.29,-0.76,0.81
0.0040111541748046875,-0.14,0.63,-0.6,0.88
0.005378246307373047,-0.16,0.71,-0.72,1.02
0.0120391845703125,0.08,0.37,-0.51,0.63
0.022289276123046875,0.01,0.34,-0.21,0.39
0.032659053802490234,0.01,0.29,-0.07,0.29
0.04206705093383789,0.06,0.0,0.42,0.42
0.05272626876831055,-0.03,-0.14,0.38,0.4
0.06268930435180664,0.01,-0.22,0.08,0.23
0.07351016998291016,0.03,-0.33,0.24,0.4
0.09977316856384277,-0.06,-0.3,0.16,0.34
0.10157513618469238,-0.09,-0.32,0.08,0.34
0.10278010368347168,0.0,-0.29,0.11,0.31
0.11269903182983398,0.04,-0.26,0.15,0.3
0.1225132942199707,0.04,-0.22,0.09,0.24
0.13274621963500977,0.07,-0.21,0.04,0.22
0.14279508590698242,0.06,-0.19,0.19,0.27
0.15337896347045898,-0.09,-0.1,0.19,0.23
0.16316008567810059,-0.13,-0.03,0.13,0.18
0.17320513725280762,-0.11,0.09,-0.19,0.23
0.20429420471191406,-0.11,0.2,-0.63,0.67
0.20605111122131348,-0.14,0.31,-0.44,0.55
0.20747113227844238,-0.12,0.36,-0.14,0.4
0.21282410621643066,-0.03,0.34,-0.39,0.51
0.22282695770263672,0.0,0.24,-0.25,0.34
0.23343110084533691,-0.03,0.13,0.27,0.3
0.24306011199951172,0.0,0.01,0.21,0.21
0.2533271312713623,0.06,-0.14,-0.02,0.15
0.26341724395751953,0.04,-0.22,0.21,0.3
0.2736082077026367,0.02,-0.26,0.32,0.41
0.30295515060424805,0.06,-0.25,0.15,0.29
0.3048219680786133,0.08,-0.21,0.26,0.34
0.3062121868133545,0.09,-0.16,0.19,0.26
0.31349706649780273,0.08,-0.09,-0.1,0.15
0.32316112518310547,0.05,-0.05,0.03,0.07
0.3338322639465332,0.03,-0.01,0.13,0.13
0.3436870574951172,-0.01,0.02,-0.04,0.04
0.35399317741394043,-0.03,0.03,-0.04,0.05
0.363800048828125,-0.02,0.04,-0.01,0.04
