time,ax,ay,az
1.0728650093078613,0.06,0.0,-0.15,0.16
1.082556962966919,0.04,0.01,-0.11,0.11
1.0926539897918701,0.02,-0.01,0.12,0.12
1.1025068759918213,0.06,0.0,0.06,0.08
1.1408698558807373,0.1,-0.01,-0.04,0.1
1.1427769660949707,0.08,-0.01,0.09,0.12
1.1440989971160889,0.07,-0.01,0.02,0.07
1.1455860137939453,0.06,-0.01,-0.12,0.13
1.1525909900665283,0.05,-0.01,-0.1,0.11
1.16286301612854,0.06,-0.01,-0.02,0.06
1.1731479167938232,0.08,-0.01,0.0,0.08
1.1829020977020264,0.08,-0.01,-0.05,0.09
1.1930789947509766,0.04,0.0,0.03,0.05
1.2028567790985107,0.04,0.0,0.0,0.04
1.2403390407562256,0.04,-0.01,-0.13,0.13
1.2420690059661865,0.01,-0.01,-0.07,0.07
1.2434508800506592,-0.02,-0.01,0.01,0.02
1.2448639869689941,-0.02,-0.02,0.0,0.02
1.2529218196868896,-0.01,-0.03,0.01,0.03
1.2633399963378906,-0.01,-0.02,0.08,0.08
1.2735459804534912,0.0,0.0,-0.02,0.02
1.283376932144165,-0.04,0.0,-0.07,0.08
1.2934930324554443,-0.05,0.02,-0.1,0.11
1.3033220767974854,-0.04,0.01,-0.12,0.12
1.340791940689087,-0.01,0.01,0.05,0.05
1.3426859378814697,0.01,0.0,0.03,0.03
1.3440139293670654,0.0,-0.02,-0.11,0.11
1.345412015914917,-0.04,-0.02,-0.03,0.05
1.3535668849945068,-0.02,-0.02,-0.04,0.04
1.3637678623199463,0.01,-0.01,-0.04,0.04
1.3737428188323975,0.03,0.0,-0.05,0.05
1.3836557865142822,0.04,0.01,-0.02,0.04
1.393967866897583,0.04,0.01,0.01,0.04
1.403752088546753,0.06,0.0,0.09,0.1
1.4411098957061768,0.09,-0.02,0.09,0.12
1.4426379203796387,0.09,-0.03,-0.01,0.09
1.4441869258880615,0.06,-0.04,0.06,0.09
1.445361852645874,0.06,-0.04,0.09,0.11
1.453988790512085,0.1,-0.03,0.01,0.1
1.4639999866485596,0.09,-0.02,0.02,0.09
1.4742391109466553,0.07,-0.01,0.01,0.07
1.484025001525879,0.03,0.0,-0.07,0.07
1.494236946105957,0.04,0.02,-0.16,0.16
1.5039420127868652,0.02,0.01,-0.1,0.1
1.5313889980316162,0.01,0.01,-0.1,0.1
1.5326290130615234,-0.02,-0.01,-0.08,0.08
1.534127950668335,-0.04,-0.02,-0.01,0.04
1.5442039966583252,-0.03,-0.02,-0.09,0.09
1.5543320178985596,-0.03,-0.03,-0.11,0.11
1.5643699169158936,-0.05,-0.02,0.1,0.11
1.5745439529418945,-0.04,-0.02,0.09,0.1
1.5846059322357178,0.0,-0.01,-0.06,0.06
1.5945088863372803,0.0,-0.01,0.06,0.06
1.6050059795379639,-0.01,0.0,0.09,0.09
1.65323805809021,0.02,-0.01,0.07,0.07
1.6551389694213867,0.04,-0.01,0.02,0.04
1.656553030014038,0.05,-0.02,-0.05,0.07
1.6585638523101807,0.02,-0.01,0.02,0.03
1.6605629920959473,0.04,-0.01,0.02,0.04
1.6646568775177002,0.06,0.0,-0.12,0.13
1.6747479438781738,0.05,0.01,-0.12,0.13
1.6848809719085693,0.04,0.01,-0.03,0.05
1.6948659420013428,0.04,0.02,0.08,0.09
1.7048540115356445,0.15,0.03,-0.44,0.46
1.7426750659942627,0.19,-0.24,-0.14,0.33
1.7444219589233398,-0.22,-0.07,1.22,1.24
1.7453949451446533,0.19,-0.19,-1.17,1.2
1.7471239566802979,-0.18,0.04,0.97,0.98
1.7549898624420166,1.16,0.54,-5.97,6.1
1.7651829719543457,-0.06,0.22,2.98,2.98
1.7752940654754639,-1.56,0.17,2.71,3.13
1.7851369380950928,-0.6,0.58,-0.59,1.02
1.7953310012817383,0.61,0.61,-0.51,1.0
1.805210828781128,0.54,-0.22,-0.28,0.64
1.8397190570831299,-0.6,-0.04,0.72,0.93
1.8415780067443848,-0.36,0.04,0.07,0.36
1.8429768085479736,0.28,-0.28,-0.71,0.81
1.8451130390167236,0.05,-0.47,-0.45,0.65
1.8553409576416016,-0.15,-0.45,0.52,0.7
1.8655409812927246,0.14,-0.42,0.31,0.54
1.875783920288086,-0.09,-0.23,0.19,0.31
1.8854610919952393,-0.19,-0.15,0.22,0.32
1.8957798480987549,0.06,-0.02,-0.03,0.06
1.9056549072265625,0.11,0.11,-0.12,0.19
1.9422428607940674,-0.23,0.34,-0.26,0.48
1.9440858364105225,-0.01,0.22,-0.34,0.4
1.9451448917388916,0.1,0.1,0.13,0.19
1.9468848705291748,0.08,-0.05,0.04,0.1
1.9558570384979248,0.1,-0.07,-0.04,0.12
1.9658069610595703,0.12,-0.04,-0.01,0.12
1.9760289192199707,0.08,0.02,-0.18,0.19
1.9857008457183838,0.1,0.03,-0.29,0.3
1.9961209297180176,0.1,-0.05,-0.11,0.15
