,5,69.25,68.95,129
13,71.28,69.79,132
20,47.62,63.17,135
26,48.76,53.57,137
32,63.17,55.11,140
47,58.97,58.93,146
67,52.44,56.86,154
89,52.44,54.03,162
109,52.44,53.01,170
131,67.93,57.61,178
153,67.82,64.19,186
175,67.37,66.37,194
196,67.93,67.19,201
219,68.71,67.91,208
240,71.28,69.25,214
262,68.78,69.75,220
284,67.82,68.82,226
306,67.82,68.18,232
327,68.82,68.27,236
350,67.37,68.16,241
371,68.28,67.94,244
393,67.93,68.05,247
415,36.11,57.78,250
437,68.28,54.20,252
458,67.93,63.11,253
481,67.82,66.16,254
502,47.06,60.58,254
524,67.82,58.57,254
546,67.82,64.50,253
568,45.43,59.46,252
589,69.20,58.08,250
612,42.81,56.75,247
633,43.39,48.00,244
655,40.67,44.18,240
677,40.09,41.75,235
699,41.23,41.05,230
720,42.88,41.70,225
743,41.87,42.13,219
764,43.82,42.59,213
786,44.96,43.74,206
808,42.23,43.65,199
830,43.75,43.23,192
851,45.54,44.14,185
874,46.59,45.37,176
896,46.95,46.27,168
917,45.36,46.20,160
940,45.03,45.56,151
961,44.71,45.12,143
983,42.83,44.25,134
1004,44.53,43.88,125
1028,43.50,43.97,116
1050,41.43,43.00,107
1074,40.20,41.60,98
1095,38.70,40.22,90
1117,35.73,38.30,81
1139,36.36,36.86,73
1161,31.75,35.06,65
1182,31.82,32.96,58
1204,28.26,31.09,51
1226,26.55,28.73,44
1248,23.91,26.49,37
1269,22.63,24.43,32
1292,21.79,23.01,26
1313,19.71,21.56,21
1335,19.89,20.43,16
1357,18.77,19.73,12
1379,19.64,19.39,9
1399,20.47,19.82,6
1421,21.43,20.54,3
1441,23.02,21.62,2
1462,24.51,23.00,0
1483,26.97,24.75,0
1504,30.61,27.34,0
1524,31.04,29.57,0
1546,33.02,31.15,1
1566,35.73,33.21,2
1587,37.65,35.44,4
1608,38.68,37.19,7
1629,42.43,39.34,10
1650,42.07,41.20,13
1673,44.46,42.52,18
1694,45.92,44.23,22
1716,44.40,44.83,28
1738,47.70,45.61,34
1760,46.74,46.64,40
1781,44.80,46.08,46
1803,46.54,45.82,53
1825,45.05,45.80,60
1847,42.45,44.49,68
1868,42.43,43.17,76
1891,41.03,42.25,84
1912,38.37,40.62,92
1934,35.79,38.35,101
1957,33.63,36.02,110
1980,31.69,33.87,119
2002,31.42,32.39,128
2026,27.77,30.60,137
2049,25.41,28.03,147
2072,24.27,25.99,156
2095,22.19,24.22,164
2117,20.92,22.52,173
2141,19.40,21.01,182
2163,18.14,19.58,189
2186,17.30,18.39,197
2209,17.38,17.72,205
2232,17.05,17.39,212
2254,18.19,17.54,218
2278,19.78,18.47,225
2300,23.24,20.42,230
2323,21.11,21.54,235
2347,23.51,22.03,240
2369,25.30,23.56,244
2392,26.41,25.03,247
2415,27.88,26.38,250
2438,29.59,27.89,252
2460,31.04,29.45,253
2484,31.75,30.69,254
2506,34.14,32.14,254
2529,34.12,33.41,254
2552,35.53,34.32,253
2575,36.11,35.28,251
2597,37.56,36.28,249
2621,40.47,38.03,245
2643,40.36,39.56,242
2666,40.09,39.99,238
2690,42.37,40.79,232
2712,42.19,41.75,227
2735,42.75,42.21,221
2758,44.51,43.12,215
2781,46.55,44.67,208
2804,46.21,45.77,201
2827,46.55,46.16,193
2849,46.05,46.25,185
2873,47.37,46.54,177
2895,48.44,47.41,168
2918,49.40,48.38,159
2941,49.00,48.90,150
2964,50.10,49.32,141
2987,50.23,49.86,132
3010,50.61,50.22,123
3033,50.48,50.43,114
3055,50.32,50.41,105
3079,48.96,49.92,96
3100,49.98,49.63,88
3122,48.69,49.44,79
3144,47.82,48.68,71
3166,48.64,48.39,63
3187,47.30,48.12,56
3210,45.03,46.87,49
3231,46.63,46.20,42
3253,44.09,45.66,36
3275,44.84,44.90,30
3297,43.10,44.30,25
3318,42.19,43.24,20
3341,42.30,42.60,15
3362,41.29,42.09,11
3384,39.15,40.89,8
3405,39.03,39.74,5
3426,37.31,38.73,3
3446,35.53,37.25,1
3467,34.64,35.86,0
3488,36.67,35.73,0
3509,32.00,34.84,0
3529,31.73,32.93,0
3551,30.17,31.66,1
3571,28.83,30.28,3
3592,28.53,29.26,5
3613,28.33,28.72,7
3634,24.54,27.26,11
3655,22.82,24.97,14
3678,21.94,23.31,19
3699,20.92,22.11,24
3721,19.77,20.98,29
3743,18.88,19.92,35
3765,15.98,18.32,41
3786,13.70,16.09,48
3809,12.51,14.18,55
3830,11.69,12.85,62
3852,10.63,11.77,70
3874,10.48,10.99,78
3896,9.79,10.44,86
3916,10.81,10.35,94
3939,12.31,11.12,103
3961,15.02,12.75,111
3984,15.78,14.45,121
4007,18.44,16.16,130
4030,21.03,18.45,139
4052,26.66,21.91,148
4076,26.73,24.98,157
4099,28.85,26.78,166
4121,30.03,28.48,174
4145,31.68,30.00,183
4167,35.48,32.29,191
4190,34.43,34.00,199
4213,35.40,34.59,206
4236,36.80,35.56,213
4258,37.63,36.62,219
4282,39.77,37.95,226
4304,39.59,39.06,231
4327,40.84,39.80,236
4350,42.43,40.97,241
4373,41.18,41.50,244
4396,42.86,41.84,248
4419,42.68,42.44,250
4442,44.53,43.18,252
4464,45.34,44.31,254
4488,47.13,45.54,254
4510,45.03,45.89,254
4534,48.38,46.41,254
4556,47.13,47.28,253
4579,47.57,47.32,251
4602,47.88,47.58,248
4625,47.26,47.57,245
4647,47.82,47.55,241
4671,48.31,47.88,237
4694,48.65,48.27,232
4716,49.41,48.76,226
4740,50.10,49.40,220
4762,51.75,50.38,214
4785,55.73,52.53,207
4808,53.65,53.92,199
4831,60.33,55.88,192
4853,73.51,62.95,184
4877,67.39,67.75,175
4899,49.92,61.93,167
4922,49.14,53.99,158
4945,47.89,50.48,149
4968,48.46,49.00,140
4990,48.13,48.55,131
5014,47.82,48.18,121
5037,52.64,49.49,112
5059,50.97,50.97,104
5083,46.16,49.43,94
5104,42.21,46.07,86
5126,40.73,43.12,78
5148,38.19,40.78,70
5170,37.43,38.88,62
5191,40.80,39.03,55
5214,34.77,38.23,48
5235,34.46,35.92,41
5257,32.62,34.39,35
5279,32.71,33.29,29
5301,30.43,32.18,24
5322,28.31,30.38,19
5345,27.93,28.93,14
5366,26.50,27.83,11
5388,28.58,27.64,7
5409,23.69,26.68,5
5430,21.41,24.04,3
5450,20.47,22.05,1
5472,19.53,20.74,0
5492,18.25,19.55,0
5513,15.48,17.83,0
5534,14.48,16.00,0
5555,12.96,14.54,1
5575,11.11,12.94,3
5596,10.15,11.46,5
5617,9.00,10.25,8
5637,8.98,9.44,11
5656,10.03,9.48,15
5678,11.69,10.36,19
5699,13.52,11.80,24
5721,15.57,13.56,29
5743,19.78,16.20,35
5765,20.92,18.86,41
5786,24.65,21.38,48
5809,26.54,24.08,55
5830,29.54,26.61,62
5852,32.44,29.42,70
5874,34.01,31.86,78
5896,35.33,33.66,86
5917,36.98,35.26,94
5940,38.45,36.83,103
5962,40.22,38.43,112
5985,42.75,40.39,121
6008,42.43,41.80,130
6031,44.24,42.78,139
6053,44.26,43.72,148
6077,45.14,44.35,158
6099,46.25,45.21,166
6122,46.66,46.01,175
6146,47.70,46.76,183
6168,46.63,47.02,191
6191,49.58,47.71,199
6214,48.78,48.65,206
6237,49.79,49.06,213
6259,50.52,49.76,220
6283,51.37,50.52,226
