ÿ3,51.06,49.92,116
7,50.41,50.13,117
12,48.55,49.96,119
16,49.25,49.70,120
20,50.07,49.69,122
40,50.08,49.78,129
61,49.70,49.81,136
81,50.41,49.87,143
102,49.43,49.89,150
124,50.95,49.96,157
146,50.65,50.17,163
167,50.39,50.26,169
190,50.95,50.37,175
211,50.95,50.51,180
233,50.90,50.62,185
256,50.56,50.65,189
277,49.38,50.47,192
299,51.66,50.49,195
321,51.17,50.72,197
343,53.07,51.07,199
364,53.56,51.64,199
387,51.53,51.87,199
408,50.83,51.69,199
430,51.22,51.53,197
452,51.12,51.44,195
474,51.44,51.40,192
495,51.44,51.41,189
518,50.28,51.27,185
539,49.49,50.92,180
561,48.87,50.48,175
583,47.13,49.86,169
605,46.45,49.08,163
626,46.43,48.41,157
649,45.32,47.77,149
670,44.78,47.09,142
692,44.29,46.44,135
714,43.62,45.81,127
736,43.08,45.19,119
757,42.59,44.60,112
780,42.01,44.02,104
801,44.46,43.82,96
822,40.76,43.51,89
843,40.11,42.74,82
864,40.55,42.13,75
884,40.96,41.78,69
906,40.33,41.49,63
926,37.60,40.85,57
947,37.05,39.96,52
967,36.51,39.16,47
989,36.83,38.53,43
1009,36.29,38.03,39
1031,35.31,37.47,36
1053,35.80,36.99,33
1075,36.83,36.82,31
1096,35.26,36.62,30
1119,33.79,36.09,30
1140,33.78,35.51,30
1162,34.12,35.12,31
1184,33.36,34.77,32
1206,34.12,34.51,34
1227,37.54,34.84,37
1250,39.22,35.74,41
1271,37.27,36.37,45
1293,37.27,36.60,50
1315,36.45,36.66,55
1337,37.92,36.80,61
1358,37.11,36.98,67
1381,38.30,37.16,74
1402,39.01,37.54,81
1424,40.00,38.03,88
1446,40.47,38.59,95
1468,41.34,39.18,103
1490,43.03,39.94,111
1514,43.53,40.78,119
1537,44.76,41.63,128
1559,45.92,42.57,135
1583,47.35,43.60,143
1605,53.29,45.29,151
1628,50.74,46.99,158
1651,49.41,47.77,165
1674,51.55,48.45,171
1696,50.45,49.10,177
1720,51.71,49.60,182
1742,50.36,49.96,187
1765,50.12,50.03,191
1788,50.94,50.16,194
1811,49.00,50.11,196
1835,48.17,49.72,198
1857,48.33,49.35,199
1880,50.25,49.33,199
1903,50.30,49.57,199
1926,49.05,49.60,198
1948,48.73,49.42,196
1972,49.98,49.40,193
1994,48.56,49.37,189
2017,45.92,48.83,185
2040,44.67,47.94,180
2063,43.53,46.97,174
2085,43.86,46.14,169
2109,43.64,45.54,162
2131,43.80,45.08,155
2154,42.66,44.61,148
2178,41.58,43.98,140
2200,40.33,43.22,132
2223,41.09,42.58,124
2246,38.92,41.93,116
2269,38.03,41.06,108
2291,36.35,40.08,100
2315,36.29,39.13,92
2336,36.29,38.41,85
2358,36.73,37.93,77
2380,36.02,37.54,70
2402,36.71,37.24,64
2423,33.85,36.75,58
2446,34.88,36.14,52
2467,32.53,35.53,47
2489,32.44,34.76,43
2511,32.16,34.14,39
2533,30.68,33.45,36
2554,29.87,32.65,33
2577,29.00,31.84,31
2598,28.67,31.08,30
2620,29.05,30.52,30
2642,31.60,30.47,30
2664,28.89,30.41,31
2685,29.05,30.05,32
2708,28.16,29.69,35
2729,30.30,29.57,37
2751,29.38,29.64,41
2774,28.94,29.52,46
2795,28.73,29.35,50
2817,29.16,29.24,56
2839,29.92,29.32,61
2861,30.41,29.53,68
2882,30.63,29.78,74
2905,31.57,30.11,82
2926,31.82,30.51,89
2948,33.41,31.04,96
2970,35.53,31.91,104
2993,34.99,32.76,112
3015,41.61,34.16,120
3039,36.56,35.40,128
3061,36.89,35.74,136
3084,40.82,36.52,144
3107,41.96,37.75,151
3130,38.75,38.41,159
3152,39.24,38.56,165
3176,40.47,38.89,172
3198,41.12,39.37,177
3221,41.90,39.91,182
3245,42.45,40.48,187
3267,42.88,41.03,191
3290,42.72,41.48,194
3313,43.26,41.86,197
3336,42.93,42.17,198
3358,42.77,42.34,199
3382,42.77,42.45,199
3404,42.50,42.50,199
3427,42.45,42.49,197
3450,41.74,42.39,195
3473,42.10,42.27,192
3495,41.03,42.09,189
