2.95,1485.34,255,-11.00,11.00,590.49
3417.33,1542.11,255,-11.00,11.00,613.20
64.44,1592.31,255,-11.00,11.00,633.28
3424.03,1630.67,255,-11.00,11.00,648.62
3374.94,2077.36,255,-11.00,11.00,827.29
5.39,1979.58,255,-11.00,11.00,788.18
3410.92,1911.04,255,-11.00,11.00,760.77
4.91,1859.74,255,-11.00,11.00,740.25
3406.76,1820.88,255,-11.00,11.00,724.70
4.63,1791.79,255,-11.00,11.00,713.07
3434.20,1773.51,255,-11.00,11.00,705.76
3.82,1759.75,255,-11.00,11.00,700.25
3403.00,1745.52,255,-11.00,11.00,694.56
3.71,1734.87,255,-11.00,11.00,690.30
3438.29,1731.37,255,-11.00,11.00,688.90
4.69,1728.88,255,-11.00,11.00,687.90
3398.80,1722.02,255,-11.00,11.00,685.16
3389.78,2144.32,255,-11.00,11.00,854.08
4.25,2031.37,255,-11.00,11.00,808.90
8.60,1520.00,255,-11.00,11.00,604.35
3436.92,1571.21,255,-11.00,11.00,624.83
3.33,1608.81,255,-11.00,11.00,639.88
3373.33,1628.89,255,-11.00,11.00,647.91
3.44,1643.92,255,-11.00,11.00,653.92
3419.56,1660.98,255,-11.00,11.00,660.75
4.25,1673.84,255,-11.00,11.00,665.89
9.86,1252.93,255,-11.00,11.00,497.52
5.94,938.52,255,-11.00,11.00,371.76
5.45,702.95,255,-11.00,11.00,277.53
3386.58,953.73,255,-11.00,11.00,377.84
3.82,1140.98,255,-11.00,11.00,452.74
8.13,854.35,255,-11.00,11.00,338.09
3405.87,1069.67,255,-11.00,11.00,424.22
12.87,1231.22,255,-11.00,11.00,488.84
3416.77,1353.34,255,-11.00,11.00,537.69
3.82,1443.48,255,-11.00,11.00,573.75
3411.54,1510.20,255,-11.00,11.00,600.43
4.25,1560.13,255,-11.00,11.00,620.40
3386.80,1594.32,255,-11.00,11.00,634.08
6.37,1620.14,255,-11.00,11.00,644.41
3418.16,1643.41,255,-11.00,11.00,653.72
5.61,1660.70,255,-11.00,11.00,660.63
3443.61,1676.84,255,-11.00,11.00,667.09
3.38,1688.62,255,-11.00,11.00,671.80
5.01,1263.25,255,-11.00,11.00,501.65
3424.28,1377.24,255,-11.00,11.00,547.25
4.25,1462.35,255,-11.00,11.00,581.29
3383.83,1520.86,255,-11.00,11.00,604.70
3365.64,1989.02,255,-11.00,11.00,791.96
5.18,1912.35,255,-11.00,11.00,761.29
3457.75,1866.67,255,-11.00,11.00,743.02
4.58,1832.45,255,-11.00,11.00,729.33
3379.48,1796.99,255,-11.00,11.00,715.15
4.25,1770.44,255,-11.00,11.00,704.53
3431.85,1757.21,255,-11.00,11.00,699.24
3.82,1747.27,255,-11.00,11.00,695.26
3424.63,1738.92,255,-11.00,11.00,691.92
11.66,1733.68,255,-11.00,11.00,689.82
3363.81,1722.07,255,-11.00,11.00,685.18
3.28,1712.34,255,-11.00,11.00,681.29
6.79,1281.19,255,-11.00,11.00,508.83
3438.38,1392.66,255,-11.00,11.00,553.42
11.67,1476.59,255,-11.00,11.00,586.99
3443.00,1539.91,255,-11.00,11.00,612.32
3.33,1586.19,255,-11.00,11.00,630.83
3402.60,1615.68,255,-11.00,11.00,642.62
