4422,28.09,30.08,-1.28
4448,28.98,29.57,0.76
4471,29.14,29.40,2.03
4495,28.24,29.17,1.64
4519,31.31,29.37,3.48
4543,27.21,29.33,2.52
4568,28.71,28.88,0.62
4591,28.69,28.82,2.16
4615,28.42,28.73,2.00
4639,27.49,28.48,1.20
4663,27.53,28.16,0.79
4686,27.69,27.98,1.24
4711,31.53,28.52,4.36
4734,30.16,29.28,5.65
4758,30.34,29.60,4.02
4783,30.07,29.80,3.65
4806,32.69,30.31,5.19
4830,30.55,30.74,5.05
4854,31.22,30.79,3.55
4878,31.48,30.97,4.19
4902,31.53,31.15,4.24
4926,33.11,31.53,5.28
4950,32.78,32.00,5.83
4974,31.53,32.05,4.22
4998,32.07,31.97,3.65
5021,30.83,31.80,3.22
5046,30.77,31.47,2.42
5069,31.88,31.42,3.52
5093,31.26,31.47,3.94
5117,30.83,31.33,3.12
5141,31.42,31.26,3.38
5166,31.80,31.38,4.17
5189,30.83,31.36,3.62
5213,30.43,31.12,2.63
5237,30.34,30.88,2.51
5261,30.39,30.71,2.72
5284,30.01,30.54,2.64
5309,29.90,30.35,2.44
5332,30.37,30.28,2.90
5356,30.07,30.26,3.09
5381,29.94,30.18,2.79
5404,33.87,30.74,5.68
5428,33.34,31.68,7.64
5452,30.55,31.77,4.29
5476,30.66,31.39,2.23
5500,31.04,31.21,2.96
5524,31.59,31.25,3.82
5548,31.22,31.30,3.93
5572,31.04,31.24,3.48
5596,30.99,31.17,3.36
5619,31.42,31.18,3.72
5644,33.81,31.65,5.80
5667,30.39,31.80,4.58
5691,32.29,31.65,3.32
5715,32.18,31.84,4.79
5739,31.59,31.86,4.09
5763,30.37,31.57,2.74
5787,29.72,31.07,1.65
5811,29.67,30.62,1.62
5835,29.41,30.26,1.83
5859,28.80,29.88,1.54
5882,29.25,29.60,1.79
5907,29.03,29.45,2.23
5931,28.98,29.30,2.18
5954,28.60,29.14,2.00
5979,28.92,29.01,2.12
6002,29.52,29.08,2.92
6026,30.05,29.31,3.68
6050,29.67,29.49,3.56
6074,30.39,29.67,3.64
6098,29.96,29.83,3.68
6122,30.12,29.90,3.31
6146,31.24,30.16,4.20
6170,33.05,30.81,6.12
6194,29.85,31.02,4.45
6217,30.12,30.68,2.08
6242,30.10,30.49,2.60
6265,30.72,30.47,3.23
6289,31.80,30.73,4.52
6313,31.48,31.03,4.83
6337,31.71,31.21,4.47
6361,31.64,31.36,4.41
6385,31.69,31.46,4.25
6409,31.80,31.56,4.28
6433,32.15,31.69,4.53
6457,30.77,31.62,3.64
6480,30.88,31.36,2.78
6505,30.72,31.17,3.00
6529,30.17,30.93,2.66
6552,30.17,30.68,2.49
6577,30.39,30.55,2.90
6600,30.39,30.50,3.19
6624,31.64,30.67,4.17
6648,32.02,31.05,5.21
6672,33.05,31.54,5.88
6696,33.38,32.09,6.42
6720,30.07,31.97,3.68
6744,30.61,31.43,1.76
6768,34.26,31.76,5.39
